"index","Research_Method","Continent","hypothesis","support_for_hypothesis","Number_of_species","type_of_experiment","has_research_problem","Study_date","study","publication","Habitat","Investigated_species","same_as","Measure_of_resistance/susceptibility","Measure_of_invasion_success","Measure_of_species_similarity","Measure_of_species_relationship","WOS_search_or_Cited_references","Specific_traits","Species_name","Phenotypic_plasticity_form","Measure_of_disturbance","Type_of_disturbance","Direct_anthropogenic_dist.?","Measure_of_propagule_pressure","Type_of_interaction","Type_of_effect_description","Ecological_Level_of_evidence","Outcome_of_interaction","Transition_in_the_invasion_process","Observed_proportion_of_species_making_the_transition","Measure_of_native_biodiversity","Sub-hypothesis","Which_species_are_compared?","Indicator_for_enemy_release","Release_of_which_kind_of_enemies?","Title","DOI","Abstract"
"Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand/Contribution 1","Experimental","Oceania","Disturbance","Undecided",4,"Field","Testing the disturbance hypothesis in invasion biology",2007,"Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand/Contribution 1","Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand","Terrestrial","Plants",NA,NA,"Biomass of exotic species",NA,NA,NA,NA,NA,NA,"Clipping all vegetation to 1 cm height (weekly) - to simulate the effects of non-selective grazing","Economic land use","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand","10.1111/j.1442-9993.2007.01700.x","One of the key environmental factors affecting plant species abundance, including that of invasive exotics, is nutrient resource availability. Plant functional response to nutrient availability, and what this tells us about plant interactions with associated species, may therefore give us clues about underlying processes related to plant abundance and invasion. Patterns of abundance of Hieracium lepidulum, a European herbaceous invader of subalpine New Zealand, appear to be related to soil fertility/nutrient availability, however, abundance may be influenced by other factors including disturbance. In this study we compare H. lepidulum and field co-occurring species for growth performance across artificial nutrient concentration gradients, for relative competitiveness and for response to disturbance, to construct a functional profile of the species. Hieracium lepidulum was found to be significantly different in its functional response to nutrient concentration gradients. Hieracium lepidulum had high relative growth rate, high yield and root plasticity in response to nutrient concentration dilution, relatively low absolute yield, low competitive yield and a positive response to clipping disturbance relative to other species. Based on overall functional response to nutrient concentration gradients, compared with other species found at the same field sites, we hypothesize that H. lepidulum invasion is not related to competitive domination. Relatively low tolerance of nutrient dilution leads us to predict that H. lepidulum is likely to be restricted from invading low fertility sites, including sites within alpine vegetation or where intact high biomass plant communities are found. Positive response to clipping disturbance and relatively high nutrient requirement, despite poor competitive performance, leads us to predict that H. lepidulum may respond to selective grazing disturbance of associated vegetation. These results are discussed in relation to published observations of H. lepidulum in New Zealand and possible tests for the hypotheses raised here."
"Functional composition controls invasion success in a California serpentine grassland/Contribution 1","Experimental","North America","limiting similarity","Supported",3,"Field","Testing the limiting similarity hypothesis in invasion biology",2010,"Functional composition controls invasion success in a California serpentine grassland/Contribution 1","Functional composition controls invasion success in a California serpentine grassland",NA,NA,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,"Abundance/Biomass/Cover/Growth of exotic species","Functional groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Functional composition controls invasion success in a California serpentine grassland","10.1111/j.1365-2745.2010.01673.x","P>1. Recent debates about the role of biotic resistance in controlling invasion success have focused on effects of species richness. However, functional composition could be a stronger control: species already in the community with similar functional traits to those of the invaders should have the greatest competitive effect on invaders. Still, experiments assessing effects of functional similarity have found contradictory results. 2. We used experimental communities in a serpentine grassland in California, USA, to assess the extent to which functional composition and functional diversity influenced success of two different types of invading plants: early season annuals (E) and late-season annuals (L) that have been previously shown to differ in patterns of resource acquisition. 3. We seeded known quantities of seed of six different species (three in each functional group) into experimental plots containing established communities differing in functional composition and functional diversity. The experimental communities contained different combinations of E, L, perennial bunchgrass (P) and nitrogen-fixer (N) functional groups, with functional diversity ranging from 0 to 4 groups. Each invading species was seeded into a separate quadrat within each plot to minimize competitive effects of invaders on each other. We measured both seedling and adult success of invaders for two full growing seasons to further understand mechanisms underlying biotic resistance. 4. More functionally diverse communities were less invaded overall, as measured by the average success of individual invaders. However, assessment of invaders by functional groups was more informative: Es in the extant community suppressed E invaders the most, and Ls in the extant community suppressed L invaders the most. 5. We observed a variety of interactions among extant functional groups in reducing invader success, including synergism, complementarity and 'basement' effects, where two or more groups negatively affected invaders, but combinations of groups were no more suppressive than single groups. The extant community influenced invaders more strongly through suppression of adult plant growth than through effects on seedling establishment. 6. Synthesis. Contrary to predictions from neutral theory, these results indicate that niche overlap was an important component of biotic resistance in these experimental plant communities and summed up to significant effects of species richness."
"Functional composition controls invasion success in a California serpentine grassland/Contribution 3","Experimental","North-America","Biotic resistence","Supported",9,"Field","Testing the biotic resistence hypothesis in invasion biology",2010,"Functional composition controls invasion success in a California serpentine grassland/Contribution 3","Functional composition controls invasion success in a California serpentine grassland","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Establishment success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native functional groups",NA,NA,NA,NA,"Functional composition controls invasion success in a California serpentine grassland","10.1111/j.1365-2745.2010.01673.x","P>1. Recent debates about the role of biotic resistance in controlling invasion success have focused on effects of species richness. However, functional composition could be a stronger control: species already in the community with similar functional traits to those of the invaders should have the greatest competitive effect on invaders. Still, experiments assessing effects of functional similarity have found contradictory results. 2. We used experimental communities in a serpentine grassland in California, USA, to assess the extent to which functional composition and functional diversity influenced success of two different types of invading plants: early season annuals (E) and late-season annuals (L) that have been previously shown to differ in patterns of resource acquisition. 3. We seeded known quantities of seed of six different species (three in each functional group) into experimental plots containing established communities differing in functional composition and functional diversity. The experimental communities contained different combinations of E, L, perennial bunchgrass (P) and nitrogen-fixer (N) functional groups, with functional diversity ranging from 0 to 4 groups. Each invading species was seeded into a separate quadrat within each plot to minimize competitive effects of invaders on each other. We measured both seedling and adult success of invaders for two full growing seasons to further understand mechanisms underlying biotic resistance. 4. More functionally diverse communities were less invaded overall, as measured by the average success of individual invaders. However, assessment of invaders by functional groups was more informative: Es in the extant community suppressed E invaders the most, and Ls in the extant community suppressed L invaders the most. 5. We observed a variety of interactions among extant functional groups in reducing invader success, including synergism, complementarity and 'basement' effects, where two or more groups negatively affected invaders, but combinations of groups were no more suppressive than single groups. The extant community influenced invaders more strongly through suppression of adult plant growth than through effects on seedling establishment. 6. Synthesis. Contrary to predictions from neutral theory, these results indicate that niche overlap was an important component of biotic resistance in these experimental plant communities and summed up to significant effects of species richness."
"Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?/Contribution 1","Observational or correlational","Oceania","limiting similarity","Supported",36,"Field","Testing the limiting similarity hypothesis in invasion biology",2013,"Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?/Contribution 1","Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?",NA,NA,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",NA,"Abundance/Biomass/Cover/Growth of exotic species","Functional traits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Functional differences between alien and native species: do biotic interactions determine the functional structure of highly invaded grasslands?","10.1111/1365-2435.12120","1. Although observed functional differences between alien and native plant species support the idea that invasions are favoured by niche differentiation (ND), when considering invasions along large ecological gradients, habitat filtering (HF) has been proposed to constrain alien species such that they exhibit similar trait values to natives. 2. To reconcile these contrasting observations, we used a multiscale approach using plant functional traits to evaluate how biotic interactions with native species and grazing might determine the functional structure of highly invaded grasslands along an elevation gradient in New Zealand. 3. At a regional scale, functional differences between alien and native plant species translated into nonrandom community assembly and high ND. Alien and native species showed contrast-ing responses to elevation and the degree of ND between them decreased as elevation increased, suggesting a role for HF. At the plant-neighbourhood scale, species with contrasting traits were generally spatially segregated, highlighting the impact of biotic interactions in struc-turing local plant communities. A confirmatory multilevel path analysis showed that the effect of elevation and grazing was moderated by the presence of native species, which in turn influ-enced the local abundance of alien species. 4. Our study showed that functional differences between aliens and natives are fundamental to understand the interplay between multiple mechanisms driving alien species success and their coexistence with natives. In particular, the success of alien species is driven by the pres-ence of native species which can have a negative (biotic resistance) or a positive (facilitation) effect depending on the functional identity of alien species."
"Functional differences in response to drought in the invasive Taraxacum officinale from native and introduced alpine habitat ranges/Contribution 1","Experimental","Europe","Phenotypic plasticity","Questioned",1,"Enclosure","Testing the phenotypic plasticity hypothesis in invasion biology",2011,"Functional differences in response to drought in the invasive Taraxacum officinale from native and introduced alpine habitat ranges/Contribution 1","Functional differences in response to drought in the invasive Taraxacum officinale from native and introduced alpine habitat ranges","Terrestrial","Plants",NA,NA,NA,NA,NA,NA,"Fitness and physiological responses to drought","Taraxacum officinale","Physiology: heat shock response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Functional differences in response to drought in the invasive Taraxacum officinale from native and introduced alpine habitat ranges","10.1080/17550874.2011.577459","Background: Phenotypic plasticity and ecotypic differentiation have been suggested as the main mechanisms by which widely distributed species can colonise broad geographic areas with variable and stressful conditions. Some invasive plant species are among the most widely distributed plants worldwide. Plasticity and local adaptation could be the mechanisms for colonising new areas. Aims: We addressed if Taraxacum officinale from native (Alps) and introduced (Andes) stock responded similarly to drought treatment, in terms of photosynthesis, foliar angle, and flowering time. We also evaluated if ontogeny affected fitness and physiological responses to drought. Methods: We carried out two common garden experiments with both seedlings and adults (F2) of T. officinale from its native and introduced ranges in order to evaluate their plasticity and ecotypic differentiation under a drought treatment. Results: Our data suggest that the functional response of T. officinale individuals from the introduced range to drought is the result of local adaptation rather than plasticity. In addition, the individuals from the native distribution range were more sensitive to drought than those from the introduced distribution ranges at both seedling and adult stages. Conclusions: These results suggest that local adaptation may be a possible mechanism underlying the successful invasion of T. officinale in high mountain environments of the Andes."
"Functional diversity of mammalian predators and extinction in island birds/Contribution 1","Observational",NA,"Invasional meltdown","Supported",67,"Field","Testing the invasional meltdown hypothesis in invasion biology",2005,"Functional diversity of mammalian predators and extinction in island birds/Contribution 1","Functional diversity of mammalian predators and extinction in island birds","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","not specified","Population","Impact on native species",NA,NA,NA,NA,NA,NA,NA,"Functional diversity of mammalian predators and extinction in island birds","10.1890/04-1847","The probability of a bird species going extinct on oceanic islands in the period since European colonization is predicted by the number of introduced predatory mammal species, but the exact mechanism driving this relationship is unknown. One possibility is that larger exotic predator communities include a wider array of predator functional types. These predator communities may target native bird species with a wider range of behavioral or life history characteristics. We explored the hypothesis that the functional diversity of the exotic predators drives bird species extinctions. We also tested how different combinations of functionally important traits of the predators explain variation in extinction probability. Our results suggest a unique impact of each introduced mammal species on native bird populations, as opposed to a situation where predators exhibit functional redundancy. Further, the impact of each additional predator may be facilitated by those already present, suggesting the possibility of ""invasional meltdown."""
"Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae/Contribution 1","Experimental","North-America","Biotic resistence","Supported",1,"Field","Testing the biotic resistence hypothesis in invasion biology",2006,"Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae/Contribution 1","Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae","Marine","Algae","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Recruitment of exotic individuals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native functional groups",NA,NA,NA,NA,"Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae","10.1111/j.2006.0030-1299.14203.x","Although many studies have investigated how community characteristics such as diversity and disturbance relate to invasibility, the mechanisms underlying biotic resistance to introduced species are not well understood. I manipulated the functional group composition of native algal communities and invaded them with the introduced, Japanese seaweed Sargassum muticum to understand how individual functional groups contributed to overall invasion resistance. The results suggested that space preemption by crustose and turfy algae inhibited S. muticum recruitment and that light preemption by canopy and understory algae reduced S. muticum survivorship. However, other mechanisms I did not investigate could have contributed to these two results. In this marine community the sequential preemption of key resources by different functional groups in different stages of the invasion generated resistance to invasion by S. muticum. Rather than acting collectively on a single resource the functional groups in this system were important for preempting either space or light, but not both resources. My experiment has important implications for diversity-invasibility studies, which typically look for an effect of diversity on individual resources. Overall invasion resistance will be due to the additive effects of individual functional groups (or species) summed over an invader's life cycle. Therefore, the cumulative effect of multiple functional groups (or species) acting on multiple resources is an alternative mechanism that could generate negative relationships between diversity and invasibility in a variety of biological systems."
"Functional group dominance and identity effects influence the magnitude of grassland invasion/Contribution 1","Experimental","South-America","Biotic resistence","Undecided",NA,"Field","Testing the biotic resistence hypothesis in invasion biology",2013,"Functional group dominance and identity effects influence the magnitude of grassland invasion/Contribution 1","Functional group dominance and identity effects influence the magnitude of grassland invasion","Terrestrial","Plants",NA,"Biomass of exotic species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native functional groups",NA,NA,NA,NA,"Functional group dominance and identity effects influence the magnitude of grassland invasion","10.1111/1365-2745.12128","1. Variation in functional community composition is expected to influence the extent of exotic species invasions. Yet, whether resident functional groups control invasion through their relative biomass (mass ratio hypothesis) or by traits other than biomass (identity hypothesis) remains poorly understood. 2. We performed a 6-year experiment to determine the effects of removing different functional groups on exotic species biomass in a Flooding Pampa grassland, Argentina. Functional groups were defined by life-form (grasses or forbs), phenology (winter or summer) and origin (native or exotic). Removal of each functional group was compared against the removal of an equivalent amount of random biomass. Exotic group responses were monitored over 4years of continuous removals, and after 2years of recovery without manipulations. 3. Removal of dominant native summer grasses caused the greatest impact on exotic species and overall community composition. Native summer-grass removal significantly increased exotic grass (120%) and forb (730%) biomass beyond the level (46% and 180%, respectively) expected from deleting a similar amount of biomass at random. Exotic annual grasses showed only a transient increase, whereas exotic forb invasion persisted even after 2years without removals. 4. Removing subordinate, native or exotic winter grasses, and rare native forbs significantly promoted exotic forbs, but to the same level (300%) as random biomass removals. Total grass removal increased exotic forbs to half the extent expected from adding the effects of single grass group removals. Dispersal limitation and harsh abiotic conditions may constrain exotic forb spread into such heavily grass-depleted patches. 5. Synthesis. The impact of losing a functional group on the magnitude and persistence of invasion reflected its relative contribution to community biomass. Identity attributes other than biomass (e.g. phenological niche) further enhanced the biotic control that dominant native grasses exerted on established exotic species. Our findings highlight the community legacies of past disturbances to dominant functional groups."
"Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1","Experimental","North America","limiting similarity","Supported",1,"Field","Testing the limiting similarity hypothesis in invasion biology",2009,"Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1","Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration",NA,NA,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,"Abundance/Biomass/Cover/Growth of exotic species","Functional groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration","10.1111/j.1526-100X.2008.00448.x","Plant community functional composition can be manipulated in restored ecosystems to reduce the establishment potential of invading species. This study was designed to compare invasion resistance among communities with species functionally similar or dissimilar to yellow starthistle (Centaurea solstitialis), a late-season annual. A field experiment was conducted in the Central Valley of California with six experimental plant communities that included (1) six early-season native annual forbs (AF); (2) five late-season native perennials and one summer annual forb (NP); (3) a combination of three early-season native annual forbs and three late-season native perennials (FP); (4) six early-season non-native annual grasses (AG); (5) monoculture of the late-season native perennial grass Elymus glaucus (EG); and (6) monoculture of the late-season native perennial Grindelia camporum (GC). Following establishment, C. solstitialis seed was added to half of the plots, and a monoculture of C. solstitialis (CS) was established as a control. Over a 5-year period, the AF and AG communities were ineffective at preventing C. solstitialis invasion. Centaurea solstitialis cover remained less than 10% in the FP and NP communities, except in year 1. By the fourth year, E. glaucus cover was greater than 50% in NP and FP communities and had spread to all other communities (e.g., 27% cover in CS in year 5). Communities containing E. glaucus, which is functionally similar to C. solstitialis, better resisted invasion than communities lacking a functional analog. In contrast, G. camporum, which is also functionally similar to C. solstitialis, failed to survive. Consequently, species selection for restored communities must consider not only functional similarity to the invader but also establishment success, competitiveness, and survivorship."
"Gas exchange and growth responses to nutrient enrichment in invasive Glyceria maxima and native New Zealand Carex species/Contribution 1","Experimental","Oceania","Phenotypic plasticity","Undecided",1,"Field/Enclosure","Testing the phenotypic plasticity hypothesis in invasion biology",2012,"Gas exchange and growth responses to nutrient enrichment in invasive Glyceria maxima and native New Zealand Carex species/Contribution 1","Gas exchange and growth responses to nutrient enrichment in invasive Glyceria maxima and native New Zealand Carex species","Terrestrial","Plants",NA,NA,NA,NA,NA,NA,"Gas exchange- the photosynthesis-leaf nitrogen relationship- growth response to nutrient enrichment","Glyceria maxima","Physiology: Ressource-use efficiency;Life history: development and growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gas exchange and growth responses to nutrient enrichment in invasive Glyceria maxima and native New Zealand Carex species","10.1016/j.aquabot.2012.05.008","We compared photosynthetic gas exchange, the photosynthesis-leaf nitrogen (N) relationship, and growth response to nutrient enrichment in the invasive wetland grass Glyceria maxima (Hartman) Holmburg with two native New Zealand Carex sedges (C. virgata Boott and C. secta Boott), to explore the ecophysiological traits contributing to invasive behaviour. The photosynthesis-nitrogen relationship was uniform across all three species, and the maximum light-saturated rate of photosynthesis expressed on a leaf area basis (Am) did not differ significantly between species. However, specific leaf area (SLA) in G. maxima (17 +/- 6 m(2) kg(-1)) was 1.3 times that of the sedges, leading to 1.4 times higher maximum rates of photosynthesis (350-400 nmol CO2 g(-1) dry mass s(-1)) expressed on a leaf mass basis (A(max)(m)) when N supply was unlimited, compared to the sedges (<300 nmol CO2 g(-1) dry mass s-1). Analysis of Covariance (ANCOVA) revealed significant positive relationships between leaf N content and chlorophyll a:b ratios, stomatal conductance (g(s)), dark respiration rate (R-d), and the photosynthetic light saturation point (I-k) in G. maxima, but not in the sedges. ANCOVA also identified that, compared to G. maxima, the sedges had 2.4 times higher intrinsic water use efficiency (A/g(s): range 20-70 cf. 8-30 mu mol CO2 mol(-1) H2O) and 1.6 times higher nitrogen use efficiency (NUE: 25-30 cf. 20-23 g dry mass g(-1) N) under excess N supply. Relative growth rates (RGR) were not significantly higher in G. maxima than the sedges, but correlations between leaf N, gas exchange parameters (A(max)(a), A(max)(m), R-d and g(s)) and RGR were all highly significant in G. maxima, whereas they were weak or absent in the sedges. Allocation of biomass (root:shoot ratio, leaf mass ratio, root mass ratio), plant N and P content, and allocation of N to leaves all showed significantly greater phenotypic plasticity and stronger correlation to final biomass in G. maxima than in the sedges. We therefore conclude that photosynthesis and growth rates are not intrinsically higher in this invader than in the native species with which it competes, but that its success under nutrient enrichment is a consequence of greater physiological responsiveness and growth plasticity, and stronger integration between gas exchange and growth, coupled with indifference to resource wastage (i.e. low WUE and NUE) at high nutrient supply. The poorer performance of G. maxima than the sedges under low nutrient supply supports the importance of nutrient management, especially N, as a strategy to minimise the invasive behaviour of fast-growing herbaceous species in wetlands. (C) 2012 Elsevier B.V. All rights reserved."
"Genetic Assimilation and the Postcolonization Erosion of Phenotypic Plasticity in Island Tiger Snakes/Contribution 1","Experimental","Oceania","Phenotypic plasticity","Supported",1,"Lab","Testing the phenotypic plasticity hypothesis in invasion biology",2009,"Genetic Assimilation and the Postcolonization Erosion of Phenotypic Plasticity in Island Tiger Snakes/Contribution 1","Genetic Assimilation and the Postcolonization Erosion of Phenotypic Plasticity in Island Tiger Snakes","Terrestrial","Reptiles",NA,NA,NA,NA,NA,NA,"Body and head sizes- i.e.- ability to ingest large prey","Notechis scutatus","Morphology: constitutive prey defences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genetic Assimilation and the Postcolonization Erosion of Phenotypic Plasticity in Island Tiger Snakes","10.1016/j.cub.2009.09.061","In 1942, C.H. Waddington [1] suggested that colonizing populations could initially succeed by flexibly altering their characteristics (phenotypic plasticity; [2-4]) in fitness-inducing traits, but selective forces would rapidly eliminate that plasticity to result in a canalized trait [1, 5, 6]. Waddington termed this process ""genetic assimilation"" [1, 7]. Despite the potential importance of genetic assimilation to evolutionary changes in founder populations [8-10], empirical evidence on this topic is rare, possibly because it happens on short timescales and is therefore difficult to detect except under unusual circumstances [11,12]. We exploited a mosaic of snake populations isolated (or introduced) on islands from less than 30 years ago to more than 9000 years ago and exposed to selection for increased head size (i.e., ability to ingest large prey [13-16]). Here we show that a larger head size is achieved by plasticity in ""young"" populations and by genetic canalization in ""older"" populations. Island tiger snakes (Notechis scutatus) thus show clear empirical evidence of genetic assimilation, with the elaboration of an adaptive trait shifting from phenotypically plastic expression through to canalization within a few thousand years."
"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations/Contribution 1","Observational or correlational","North America","Propagule pressure","Supported",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2010,"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations/Contribution 1","Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations","Terrestrial","Birds",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total number released",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations","10.1111/j.1365-294X.2010.04749.x","The monk parakeet (Myiopsitta monachus) is a successful invasive species that does not exhibit life history traits typically associated with colonizing species (e.g., high reproductive rate or long-distance dispersal capacity). To investigate this apparent paradox, we examined individual and population genetic patterns of microsatellite loci at one native and two invasive sites. More specifically, we aimed at evaluating the role of propagule pressure, sexual monogamy and long-distance dispersal in monk parakeet invasion success. Our results indicate little loss of genetic variation at invasive sites relative to the native site. We also found strong evidence for sexual monogamy from patterns of relatedness within sites, and no definite cases of extra-pair paternity in either the native site sample or the examined invasive site. Taken together, these patterns directly and indirectly suggest that high propagule pressure has contributed to monk parakeet invasion success. In addition, we found evidence for frequent long-distance dispersal at an invasive site (similar to 100 km) that sharply contrasted with previous estimates of smaller dispersal distance made in the native range (similar to 2 km), suggesting long-range dispersal also contributes to the species' spread within the United States. Overall, these results add to a growing body of literature pointing to the important role of propagule pressure in determining, and thus predicting, invasion success, especially for species whose life history traits are not typically associated with invasiveness."
"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations/Contribution 2","Observational or correlational","North America","Propagule pressure","Supported",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2010,"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations/Contribution 2","Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations","Terrestrial","Birds",NA,NA,"Genetic diversity",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total number released",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genetic evidence for high propagule pressure and long-distance dispersal in monk parakeet (Myiopsitta monachus) invasive populations","10.1111/j.1365-294X.2010.04749.x","The monk parakeet (Myiopsitta monachus) is a successful invasive species that does not exhibit life history traits typically associated with colonizing species (e.g., high reproductive rate or long-distance dispersal capacity). To investigate this apparent paradox, we examined individual and population genetic patterns of microsatellite loci at one native and two invasive sites. More specifically, we aimed at evaluating the role of propagule pressure, sexual monogamy and long-distance dispersal in monk parakeet invasion success. Our results indicate little loss of genetic variation at invasive sites relative to the native site. We also found strong evidence for sexual monogamy from patterns of relatedness within sites, and no definite cases of extra-pair paternity in either the native site sample or the examined invasive site. Taken together, these patterns directly and indirectly suggest that high propagule pressure has contributed to monk parakeet invasion success. In addition, we found evidence for frequent long-distance dispersal at an invasive site (similar to 100 km) that sharply contrasted with previous estimates of smaller dispersal distance made in the native range (similar to 2 km), suggesting long-range dispersal also contributes to the species' spread within the United States. Overall, these results add to a growing body of literature pointing to the important role of propagule pressure in determining, and thus predicting, invasion success, especially for species whose life history traits are not typically associated with invasiveness."
"Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata/Contribution 1","Experimental","['Europe', 'North-America']","Enemy release","Supported",1,"Enclosure","Testing the enemy release hypothesis in invasion biology",2006,"Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata/Contribution 1","Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata","Terrestrial","Plants","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAD","Aliens in native and invaded range","Damage","no differentiation","Geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata","10.1007/s00442-006-0380-9","We investigated geographic patterns of herbivory and resource allocation to defense, growth, and reproduction in an invasive biennial, Alliaria petiolata, to test the hypothesis that escape from herbivory in invasive species permits enhanced growth and lower production of defensive chemicals. We quantified herbivore damage, concentrations of sinigrin, and growth and reproduction inside and outside herbivore exclusion treatments, in field populations in the native and invasive ranges. As predicted, unmanipulated plants in the native range (Hungary, Europe) experienced greater herbivore damage than plants in the introduced range (Massachusetts and Connecticut, USA), providing evidence for enemy release, particularly in the first year of growth. Nevertheless, European populations had consistently larger individuals than US populations (rosettes were, for example, eightfold larger) and also had greater reproductive output, but US plants produced larger seeds at a given plant height. Moreover, flowering plants showed significant differences in concentrations of sinigrin in the invasive versus native range, although the direction of the difference was variable, suggesting the influence of environmental effects. Overall, we observed less herbivory, but not increased growth or decreased defense in the invasive range. Geographical differences in performance and leaf chemistry appear to be due to variation in the environment, which could have masked evolved differences in allocation."
